dataset,query,system,time_sec
small,F1_temporal_window,mobility,0.106112
small,F1_temporal_window,timescale,0.074001
small,F2_threshold_filter,mobility,0.568023
small,F2_threshold_filter,timescale,0.138017
small,F3_time_threshold,mobility,0.18777
small,F3_time_threshold,timescale,0.141189
small,F4_count_per_sensor,mobility,0.11417
small,F4_count_per_sensor,timescale,0.134148
small,F5_duration,mobility,0.113327
small,F5_duration,timescale,0.135156
small,F6_global_time_range,mobility,0.112815
small,F6_global_time_range,timescale,0.000694
small,F7_latest_value,mobility,0.156853
small,F7_latest_value,timescale,0.307532
small,F8_first_value,mobility,0.116158
small,F8_first_value,timescale,0.004636
small,F9_avg_humidity,mobility,0.553475
small,F9_avg_humidity,timescale,0.295134
small,F10_window_avg_temp,mobility,0.19006
small,F10_window_avg_temp,timescale,0.071409
medium,F1_temporal_window,mobility,0.867556
medium,F1_temporal_window,timescale,0.89493
medium,F2_threshold_filter,mobility,2.733201
medium,F2_threshold_filter,timescale,0.648385
medium,F3_time_threshold,mobility,0.860433
medium,F3_time_threshold,timescale,0.807178
medium,F4_count_per_sensor,mobility,0.543063
medium,F4_count_per_sensor,timescale,0.454358
medium,F5_duration,mobility,0.564999
medium,F5_duration,timescale,0.462461
medium,F6_global_time_range,mobility,0.562521
medium,F6_global_time_range,timescale,0.000872
medium,F7_latest_value,mobility,0.564893
medium,F7_latest_value,timescale,2.611149
medium,F8_first_value,mobility,0.889147
medium,F8_first_value,timescale,0.036134
medium,F9_avg_humidity,mobility,4.381173
medium,F9_avg_humidity,timescale,2.322138
medium,F10_window_avg_temp,mobility,1.319116
medium,F10_window_avg_temp,timescale,0.260275
large,F1_temporal_window,mobility,1.740862
large,F1_temporal_window,timescale,1.820403
large,F2_threshold_filter,mobility,5.4217
large,F2_threshold_filter,timescale,1.300093
large,F3_time_threshold,mobility,1.668167
large,F3_time_threshold,timescale,1.677889
large,F4_count_per_sensor,mobility,1.092045
large,F4_count_per_sensor,timescale,1.272898
large,F5_duration,mobility,1.087292
large,F5_duration,timescale,1.519977
large,F6_global_time_range,mobility,1.075853
large,F6_global_time_range,timescale,0.000633
large,F7_latest_value,mobility,1.082807
large,F7_latest_value,timescale,4.647447
large,F8_first_value,mobility,1.626598
large,F8_first_value,timescale,0.07622
large,F9_avg_humidity,mobility,5.344686
large,F9_avg_humidity,timescale,4.403817
large,F10_window_avg_temp,mobility,2.713496
large,F10_window_avg_temp,timescale,0.445455
